college_name,city,state,nirf_rank,nirf_score,category,careers,min_cutoff,fees_lpa,avg_package_lpa
ATME College of Engineering,Mysuru,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
Atria Institute of Technology,Bengaluru,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Aurora`s Scientific & Technological Institute,Hyderabad,Telangana,,,Engineering,"Technology,Science",60,1.0,5.0
"Avanthi Institute of Engineering & Technology, Tamaram Village, Makavarapalem mandal, Narsipatnam , Pin-531113. (CC-81)",Visakhapatnam,Andhra Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Avanthi Institute of Engineering and Technology,Vizianagaram,Andhra Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Avanthi institute of Engineering and Technology,Hyderabad,Telangana,,,Engineering,"Technology,Science",60,1.0,5.0
AVS COLLEGE OF TECHNOLOGY ( FORMERLY AVS TECHNICAL CAMPUS),SALEM,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
AVS Engineering College,Salem,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
"B K Birla Institute of Engineering & Technology, Pilani",Jhunjhunun,Rajasthan,,,Engineering,"Technology,Science",60,1.0,5.0
B. G. S. Institute of Technology,Mandya,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
"B. P. Mandal College of Engineering, Madhepura",MADHEPURA,Bihar,,,Engineering,"Technology,Science",60,1.0,5.0
B. P. Poddar Institute of Management & Technology,Kolkata,West Bengal,,,Engineering,"Technology,Science",60,1.0,5.0
B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
"B.L.D.E.A's V.P. Dr. P.G. Halakatti College of Engg. & Tech., Vijayapur",Vijayapur,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
B.M.S. College of Engineering,Bengaluru,Karnataka,,,Engineering,"Technology,Science",60,1.0,5.0
